龕,감실,감
匣,상자,갑
岬,곶,갑
姜,성 강,강
岡,언덕,강
崗,언덕,강
疆,지경,강
腔,빌,강
薑,생강,강
凱,즐거울,개
漑,물 댈,개
箇,낱,개
芥,겨자,개
坑,구덩이,갱
羹,국,갱
巾,수건,건
腱,힘줄,건
虔,공경할,건
鍵,열쇠,건
杰,뛰어날,걸
黔,검을,검
劫,겁탈할,겁
怯,겁낼,겁
偈,게송,게
揭,들,게
檄,격문,격
覡,박수,격
甄,질그릇,견
繭,고치,견
鵑,두견새,견
訣,이별할,결
鎌,낫,겸
憬,깨달을,경
暻,밝을,경
梗,대개,경
璟,옥빛,경
瓊,옥,경
痙,경기,경
磬,경쇠,경
脛,정강이,경
莖,줄기,경
頸,목,경
鯨,고래,경
悸,가슴 뛸,계
稽,상고할,계
誡,경계할,계
谿,시내,계
叩,두드릴,고
拷,칠,고
攷,상고할,고
皐,못,고
股,넓적다리,고
膏,기름,고
藁,짚,고
袴,바지,고
誥,고할,고
錮,굳을,고
雇,고용할,고
崑,곤륜산,곤
昆,많을,곤
棍,몽둥이,곤
袞,곤룡포,곤
控,당길,공
拱,마주 잡을,공
串,꿸,관
戈,창,과
瓜,오이,과
菓,과일,과
顆,낱,과
槨,덧널,곽
藿,콩잎,곽
廓,성곽,곽
棺,널,관
款,조목,관
灌,물 댈,관
罐,뚜껑,관
括,묶을,괄
适,갈,괄
匡,바룰,광
壙,구덩이,광
曠,빌,광
珖,빛날,광
卦,점괘,괘
乖,어그러질,괴
傀,허수아비,괴
槐,홰나무,괴
魁,으뜸,괴
宏,넓을,굉
僑,더부살이할,교
咬,물,교
喬,높을,교
嬌,아리따울,교
攪,어지러울,교
絞,목맬,교
膠,아교,교
轎,가마,교
驕,교만할,교
仇,원수,구
勾,갈고리,구
垢,때,구
寇,도적,구
歐,토할,구
毬,공,구
溝,도랑,구
灸,뜸,구
矩,곱자,구
臼,절구,구
舅,외삼촌,구
購,살,구
軀,몸,구
逑,짝,구
邱,언덕,구
鉤,갈고리,구
駒,망아지,구
鳩,비둘기,구
鷗,갈매기,구
耈,늙은이,구
鞠,국화,국
鞫,국문할,국
麴,누룩,국
裙,치마,군
堀,굴,굴
掘,팔,굴
窟,굴,굴
穹,하늘,궁
躬,몸,궁
倦,게으를,권
圈,우리,권
捲,걷을,권
眷,돌아볼,권
闕,대궐,궐
櫃,궤,궤
潰,무너질,궤
晷,해 그림자,궤
圭,홀,규
奎,별 이름,규
揆,헤아릴,규
珪,옥 홀,규
硅,규소,규
窺,엿볼,규
葵,해바라기,규
閨,안방,규
筠,대나무,균
鈞,서른 근,균
橘,귤,귤
剋,이길,극
戟,창,극
棘,가시,극
隙,틈,극
劤,힘쓸,근
