旿,밝을,오
梧,오동나무,오
鰲,자라,오
沃,기름질,옥
鈺,보배,옥
瘟,온역,온
穩,안정될,온
蘊,쌓을,온
兀,우뚝 솟을,올
甕,항아리,옹
雍,화목할,옹
饔,아침밥,옹
渦,소용돌이,와
窩,움집,와
蛙,개구리,와
訛,그릇될,와
婉,아리따울,완
浣,씻을,완
玩,희롱할,완
阮,갓이름,완
腕,팔뚝,완
莞,돗자리,완
頑,완고할,완
旺,왕성할,왕
汪,넓을,왕
倭,왜,왜
歪,비뚤어질,왜
矮,작을,왜
巍,높을,외
堯,요임금,요
夭,젊을,요
妖,요망할,요
姚,예쁠,요
擾,시끄러울,요
曜,빛날,요
瑤,옥돌,요
窯,가마,요
耀,빛날,요
饒,풍요로울,요
褥,요,욕
傭,품팔,용
湧,솟을,용
溶,녹을,용
熔,녹일,용
茸,버섯,용
蓉,연꽃,용
踊,뛸,용
鎔,쇠 녹일,용
鏞,큰 종,용
佑,도울,우
寓,부칠,우
瑀,옥돌,우
盂,동이,우
祐,복,우
禑,복,우
禹,우임금,우
虞,헤아릴,우
迂,에두를,우
隅,모퉁이,우
旭,아침 해,욱
昱,다음날,욱
郁,성할,욱
耘,김 맬,운
芸,재주,운
隕,떨어질,운
蔚,숱 많을,울
鬱,답답할,울
熊,곰,웅
垣,담,원
媛,미인,원
寃,원통할,원
猿,원숭이,원
苑,동산,원
袁,옷 길 원,원
尉,벼슬,위
渭,물 이름,위
萎,시들,위
葦,갈대,위
韋,가죽 위,위
魏,위나라,위
兪,쾌할,유
喩,비유할,유
宥,너그러울,유
庾,곳집,유
愉,즐거울,유
楡,느릅나무,유
游,헤엄칠,유
濡,젖을,유
瑜,아름다운 옥,유
癒,나을,유
諭,타이르다,유
踰,넘을,유
釉,유약,유
鍮,놋쇠,유
堉,기를,육
毓,기를,육
允,진실로,윤
尹,다스릴,윤
胤,이을,윤
戎,오랑캐,융
絨,융,융
融,녹을,융
殷,성할,은
蔭,그늘,음
揖,읍할,읍
膺,가슴,응
鷹,매,응
倚,의지할,의
懿,아름다울,의
擬,헤아릴,의
椅,의자,의
毅,굳셀,의
蟻,개미,의
誼,의로울,의
伊,저,이
弛,늦출,이
彛,떳떳할,이
怡,즐거울,이
爾,너,이
珥,귀고리,이
貳,둘,이
餌,미끼,이
頤,턱,이
瀷,물 흐를,익
翊,도울,익
咽,목멜,인*/ 연*
刃,칼날,인
靭,질길,인
佾,줄,일
壹,하나,일
溢,넘칠,일
鎰,쇳덩이,일
馹,역말,일
姙,아이 밸,임
荏,삽주,임
仍,인할,잉
剩,남을,잉
山,뫼,산
夕,저녁,석
石,돌,석
手,손,수
水,물,수
身,몸,신
心,마음,심
事,일,사
史,역사,사
四,넉,사
士,선비,사
三,석,삼
上,위,상
商,장사,상
色,빛,색
生,날,생
書,글,서
西,서녘,서
成,이룰,성
世,세상,세
小,작을,소
少,적을,소
市,저자,시
示,보일,시
食,밥,식
臣,신하,신
失,잃을,실
十,열,십
師,스승,사
死,죽을,사
序,차례,서
先,먼저,선
線,실,선
城,성,성
性,성품,성
所,바,소
消,사라질,소
素,본디,소
俗,풍속,속
習,익힐,습
始,비로소,시
時,때,시
詩,시,시
信,믿을,신
神,귀신,신
室,집,실
實,열매,실
仕,섬길,사
思,생각,사
史,역사,사
産,낳을,산
算,셈할,산
想,생각할,상
相,서로,상
賞,상줄,상
尙,오히려,상
喪,잃을,상
常,항상,상
霜,서리,상
傷,다칠,상
償,갚을,상
詳,자세할,상
祥,상서로울,상
床,평상,상
象,코끼리,상
像,형상,상
桑,뽕나무,상
싹,削,깎을
朔,초하루,삭
散,흩을,산
殺,죽일,살
師,스승,사
捨,버릴,사
巳,뱀,사
私,사사로울,사
絲,실,사
謝,사례할,사
詐,속일,사
詞,말,사
賜,줄,사
寫,베낄,사
辭,말씀,사
邪,간사할,사
査,조사할,사
斜,비스듬할,사
司,맡을,사
社,모일,사
祀,제사,사
嗣,이을,사
奢,사치할,사
娑,춤출,사
徙,옮길,사
泗,콧물,사
蛇,뱀,사
扇,부채,선
選,가릴,선
鮮,고울,선
仙,신선,선
說,말씀,설
雪,눈,설
設,베풀,설
舌,혀,설
涉,건널,섭
攝,잡을,섭
歲,해,세
性,성품,성
星,별,성
省,살필,성
盛,성할,성
誠,정성,성
勢,기세,세
細,가늘,세
笑,웃을,소
少,적을,소
所,바,소
消,사라질,소
召,부를,소
蘇,깨어날,소
騷,시끄러울,소
燒,불사를,소
訴,하소연할,소
掃,쓸,소
疏,소략할,소
蔬,나물,소
束,묶을,속
屬,무리,속
孫,손자,손
損,덜,손
松,소나무,송
送,보낼,송
訟,송사할,송
誦,외울,송
頌,기릴,송
刷,닦을,쇄
鎖,쇠사슬,쇄
衰,쇠할,쇠
秀,빼어날,수
愁,근심,수
誰,누구,수
雖,비록,수
須,모름지기,수
宿,잘,숙
淑,맑을,숙
孰,누구,숙
熟,익을,숙
純,순수할,순
旬,열흘,순
殉,따라 죽을,순
瞬,눈 깜짝할,순
脣,입술,순
巡,돌,순
術,재주,술
濕,젖을,습
襲,엄습할,습
僧,중,승
昇,오를,승
勝,이길,승
尸,주검,시*
視,볼,시
識,알,식
新,새,신
氏,성씨,씨
矢,화살,시
息,숨,식
飾,꾸밀,식
申,펼,신
辛,매울,신
深,깊을,심
甚,심할,심
似,같을,사
囚,가둘,수
睡,잠잘,수
輸,실어 나를,수
遂,이룰,수
隨,따를,수
帥,장수,수
獸,짐승,수
殊,다를,수
需,구할,수
垂,드리울,수
搜,찾을,수
崇,높을,숭
式,법,식
試,시험할,시
伸,펼,신
愼,삼갈,신
晨,새벽,신
審,살필,심
尋,찾을,심
僿,작을,사
唆,부추길,사
庶,여러,서
恕,용서할,서
署,관청,서
緖,실마리,서
誓,맹세할,서
逝,갈,서
析,쪼갤,석
釋,풀,석
禪,선정,선
旋,돌,선
召,부를,소
昭,밝을,소
蘇,깨어날,소
騷,시끄러울,소
燒,불사를,소
訴,하소연할,소
掃,쓸,소
疏,소략할,소
蔬,나물,소
束,묶을,속
粟,조,속
屬,무리,속
損,덜,손
訟,송사할,송
誦,외울,송
頌,기릴,송
刷,닦을,쇄
鎖,쇠사슬,쇄
衰,쇠할,쇠
囚,가둘,수
睡,잠잘,수
輸,실어 나를,수
遂,이룰,수
隨,따를,수
帥,장수,수
獸,짐승,수
殊,다를,수
需,구할,수
垂,드리울,수
搜,찾을,수
孰,누구,숙
肅,엄숙할,숙
熟,익을,숙
循,좇을,순
旬,열흘,순
殉,따라 죽을,순
瞬,눈 깜짝할,순
脣,입술,순
巡,돌,순
術,재주,술
濕,젖을,습
襲,엄습할,습
僧,중,승
昇,오를,승
侍,모실,시
瀉,쏟을,사
獅,사자,사
砂,모래,사
祠,사당,사
紗,깁,사
肆,방자할,사
莎,사초,사
裟,가사,사
赦,용서할,사
飼,먹일,사
麝,사향노루,사
傘,우산,산
刪,깎을,산
珊,산호,산
酸,시큼할,산
撒,흩뿌릴,살
煞,죽일,살
薩,보살,살
杉,삼나무,삼
森,빽빽할,삼
蔘,인삼,삼
衫,홑옷,삼
滲,스며들,삼
揷,꽂을,삽
澁,떫을,삽
庠,학교,상
湘,강 이름,상
箱,상자,상
翔,날,상
璽,옥새,상
穡,곡식 거둘,색
牲,희생,생
笙,생황,생
壻,사위,서
嶼,작은 섬,서
抒,풀,서
曙,새벽,서
棲,깃들일,서
犀,무소,서
瑞,상서로울,서
筮,점칠,서
胥,서로,서
舒,펼,서
薯,마,서
鋤,호미,서
黍,기장,서
鼠,쥐,서
奭,붉을,석
晳,밝을,석
汐,밤물,석
潟,갯벌,석
碩,클,석
錫,주석,석
扇,부채,선
璿,옥돌,선
癬,옴,선
繕,기워 고칠,선
羨,부러워할,선
腺,샘,선
膳,반찬,선
蟬,매미,선
詵,많을,선
銑,무쇠,선
卨,설,설
屑,가루,설
楔,쐐기,설
泄,샐,설
薛,쑥,설
暹,해 돋을,섬
纖,가늘,섬
蟾,두꺼비,섬
贍,넉넉할,섬
閃,번쩍일,섬
陝,좁을,섬
燮,화합할,섭
惺,깨달을,성
晟,밝을,성
醒,깰,성
貰,세낼,세
塑,흙 빚을,소
宵,밤,소
巢,둥지,소
梳,빗,소
沼,못,소
瀟,맑을,소
疎,소략할,소
簫,퉁소,소
紹,이을,소
蕭,맑을,소
逍,거닐,소
遡,거스를,소
邵,고을 이름,소
韶,아름다울,소
贖,속바칠,속
巽,겸손할,손
遜,겸손할,손
飡,먹을,손
宋,송나라,송
碎,부술,쇄
嫂,형수,수
戍,수자리 살,수
洙,물 이름,수
漱,양치질할,수
燧,부싯돌,수
狩,사냥할,수
瘦,여윌,수
穗,이삭,수
