叱,꾸짖을,질
疾,병,질
秩,차례,질
窒,막힐,질
膣,자궁 질,질
輯,모을,집
塵,티끌,진
鎭,진압할,진
診,진찰할,진
賑,구휼할,진
震,벼락,진
珍,보배,진
疹,홍역,진
秦,진나라,진
晉,나아갈,진
津,나루,진
秩,차례,질
趾,발,지
誌,기록할,지
職,직분,직
織,짤,직
稷,피,직
澄,맑을,징
姪,조카,질
賑,구휼할,진
疾,병,질
秩,차례,질
貞,곧을,정
呈,드릴,정
幀,족자,정
廷,조정,정
庭,뜰,정
艇,작은 배,정
丁,넷째 천간,정
井,우물,정
鄭,정,정
釘,못,정
錠,덩이,정
靖,편안할,정
濟,건널,제
劑,약 지을,제
悌,공경할,제
梯,사닥다리,제
臍,배꼽,제
蹄,발굽,제
霽,갤,제
弔,조상할,조
俎,도마,조
嘲,비웃을,조
彫,새길,조
措,둘,조
曺,성 씨,조
曹,무리,조
棗,대추,조
槽,구유,조
漕,물길,조
爪,손톱,조
祚,복,조
稠,빽빽할,조
粗,거칠,조
肇,처음,조
藻,마름,조
詔,조서,조
趙,조나라,조
汗,땀,한
恨,한할,한
旱,가물,한
寒,찰,한
韓,나라 이름,한
含,머금을,함
咸,다,함
陷,빠질,함
巷,거리,항
港,항구,항
抗,겨룰,항
恒,항상,항
航,배 항해할,항
項,목,항
해,돼지,해
害,해할,해
核,씨,핵
鄕,시골,향
香,향기,향
享,누릴,향
軒,난간,헌
憲,법,헌
獻,바칠,헌
險,험할,험
驗,증험할,험
顯,나타날,현
玄,검을,현
縣,고을,현
絃,현악기 줄,현
賢,어질,현
혈,구멍,혈
血,피,혈
嫌,싫어할,혐
협,옆구리,협
挾,낄,협
兄,형,형
衡,저울대,형
亨,형통할,형
螢,반딧불,형
刑,형벌,형
혜,은혜,혜
慧,지혜,혜
호,지게 호,호
乎,어조사,호
呼,부를,호
虎,범,호
浩,넓을,호
胡,오랑캐,호
豪,호걸,호
號,이름,호
護,보호할,호
혹,미혹할,혹
惑,미혹할,혹
昏,어두울,혼
魂,넋,혼
混,섞을,혼
홀,소홀히 할,홀
洪,넓을,홍
弘,넓을,홍
鴻,큰 기러기,홍
화,꽃,화
和,화할,화
話,말씀,화
畫,그릴,화
華,빛날,화
活,살,활
禍,재앙,화
환,고리,환
還,돌아올,환
丸,둥글,환
換,바꿀,환
歡,기뻐할,환
荒,거칠,황
況,하물며,황
黃,누를,황
擴,넓힐,확
確,굳을,확
穫,거둘,확
悔,뉘우칠,회
懷,품을,회
劃,그을,획
橫,가로,횡
曉,새벽,효
孝,효도,효
效,본받을,효
候,기다릴,후
厚,두터울,후
後,뒤,후
毁,헐,훼
輝,빛날,휘
揮,휘두를,휘
携,잡을,휴
休,쉴,휴
訓,가르칠,훈
興,일어날,흥
희,바랄,희
稀,드물,희
喜,기쁠,희
戱,놀,희
汗,땀,한
翰,붓,한
閒,한가할,한
轄,다스릴,할
函,함,함
涵,젖을,함
艦,큰 배,함
銜,재갈,함
鹹,짤,함
哈,웃을,하
盒,합,합
蛤,조개,합
閤,작은 문,합
廈,집,하
瑕,흠,하
蝦,새우,하
霞,노을,하
亢,높을,항
杭,항주,항
沆,넓을,항
肛,항문,강
咳,기침,해
楷,본보기,해
蟹,게,해
諧,화할,해
骸,뼈,해
劾,다스릴,핵
杏,살구,행
戶,지게 호,호
壕,해자,호
壺,병,호
弧,활,호
扈,호위할,호
昊,하늘,호
濠,해자,호
狐,여우,호
琥,호박,호
瑚,산호,호
糊,풀,호
鎬,호경,호
酷,혹독할,혹
渾,온통,혼
琿,아름다운 옥,혼
笏,홀,홀
虹,무지개,홍
樺,자작나무,화
畵,그릴,화
靴,가죽신,화
喚,부를,환
宦,벼슬,환
幻,홀릴,환
桓,굳셀,환
煥,빛날,환
滑,미끄러울,활
闊,넓을,활
凰,봉황,황
慌,황급할,황
晃,밝을,황
滉,물 넓을,황
煌,빛날,황
隍,해자,황
廻,돌,회
晦,그믐,회
檜,노송나무,회
淮,회수,회
澮,봇도랑,회
灰,재,회
繪,그림,회
膾,회,회
誨,가르칠,회
孝,효도,효
后,왕후,후
喉,목구멍,후
嗅,맡을,후
朽,썩을,후
墟,터,허
歇,쉴,헐
赫,붉을,혁
爀,붉을,혁
焃,붉을,혁
彗,살별,혜
鞋,신,혜
勛,공훈,훈
勳,공훈,훈
熏,그을릴,훈
燻,그을릴,훈
薰,향풀,훈
萱,원추리,훤
卉,풀,훼
彙,무리,휘
暉,빛날,휘
諱,꺼릴,휘
恤,불쌍히 여길,휼
匈,오랑캐,흉
欣,기쁠,흔
痕,흔적,흔
欠,하품,흠
欽,공경할,흠
洽,화할,흡
僖,기쁠,희
姬,아가씨,희
嬉,즐길,희
憙,기쁠,희
熙,빛날,희
熹,밝을,희
犧,희생할,희
禧,복,희
羲,복희,희
詰,꾸짖을,힐
虐,사나울,학
謔,희롱할,학
巷,거리,항
珦,향,향
餉,군량,향
饗,잔치할,향
俔,엿볼,현
峴,산마루,현
弦,활시위,현
炫,빛날,현
玹,옥돌,현
眩,아찔할,현
舷,뱃전,현
鉉,솥귀,현
頁,머리,혈
狹,좁을,협
脇,옆구리,협
莢,꼬투리,협
型,거푸집,형
灐,연못,형
炯,밝을,형
荊,가시나무,형
馨,향기,형
彗,살별,혜
鞋,신,혜
囂,시끄러울,효
酵,삭힐,효
嗅,맡을,후
曉,새벽,효
朽,썩을,후
般,일반,반
叛,배반할,반
返,돌아올,반
